Weight decay 5.00e-03
model z value: 0020
number of linear layers: 04
Iter 0000 | Total Loss 1.90e-04 | lr 1.00e-03
Iter 0010 | Total Loss 1.01e-05 | lr 1.00e-03
Iter 0020 | Total Loss 1.09e-05 | lr 1.00e-03
Iter 0030 | Total Loss 6.93e-06 | lr 1.00e-03
Iter 0040 | Total Loss 4.79e-06 | lr 1.00e-03
Iter 0050 | Total Loss 4.56e-06 | lr 1.00e-03
Iter 0060 | Total Loss 5.36e-06 | lr 1.00e-03
Iter 0070 | Total Loss 3.61e-06 | lr 1.00e-03
Iter 0080 | Total Loss 1.98e-06 | lr 1.00e-03
Iter 0090 | Total Loss 1.98e-06 | lr 1.00e-03
Iter 0100 | Total Loss 4.55e-06 | lr 1.00e-03
Iter 0110 | Total Loss 1.29e-06 | lr 1.00e-03
Iter 0120 | Total Loss 1.70e-06 | lr 1.00e-03
Iter 0130 | Total Loss 1.57e-06 | lr 1.00e-03
Iter 0140 | Total Loss 1.96e-06 | lr 1.00e-03
Iter 0150 | Total Loss 1.66e-06 | lr 1.00e-03
Iter 0160 | Total Loss 1.31e-06 | lr 1.00e-03
Iter 0170 | Total Loss 2.63e-06 | lr 1.00e-03
Iter 0180 | Total Loss 1.48e-06 | lr 1.00e-03
Iter 0190 | Total Loss 5.00e-06 | lr 1.00e-03
Iter 0200 | Total Loss 1.55e-06 | lr 1.00e-03
Iter 0210 | Total Loss 1.15e-06 | lr 1.00e-03
Iter 0220 | Total Loss 1.36e-06 | lr 1.00e-03
Iter 0230 | Total Loss 1.43e-06 | lr 1.00e-03
Iter 0240 | Total Loss 1.30e-06 | lr 1.00e-03
Iter 0250 | Total Loss 1.25e-06 | lr 1.00e-03
Iter 0260 | Total Loss 1.39e-06 | lr 1.00e-03
Iter 0270 | Total Loss 2.36e-06 | lr 1.00e-03
Iter 0280 | Total Loss 1.03e-06 | lr 1.00e-03
Iter 0290 | Total Loss 1.50e-06 | lr 1.00e-03
Iter 0300 | Total Loss 1.24e-06 | lr 1.00e-03
Iter 0310 | Total Loss 2.03e-06 | lr 1.00e-03
Iter 0320 | Total Loss 1.21e-06 | lr 1.00e-03
Iter 0330 | Total Loss 1.09e-06 | lr 1.00e-03
Iter 0340 | Total Loss 1.25e-06 | lr 1.00e-03
Iter 0350 | Total Loss 1.46e-06 | lr 1.00e-03
Iter 0360 | Total Loss 1.11e-06 | lr 1.00e-03
Iter 0370 | Total Loss 1.31e-06 | lr 1.00e-03
Iter 0380 | Total Loss 1.13e-06 | lr 1.00e-03
Iter 0390 | Total Loss 1.35e-06 | lr 1.00e-03
Iter 0400 | Total Loss 1.94e-06 | lr 1.00e-03
Iter 0410 | Total Loss 1.88e-06 | lr 1.00e-03
Iter 0420 | Total Loss 1.56e-06 | lr 1.00e-03
Iter 0430 | Total Loss 1.21e-06 | lr 1.00e-03
Iter 0440 | Total Loss 1.17e-06 | lr 1.00e-03
Iter 0450 | Total Loss 1.67e-06 | lr 1.00e-03
Iter 0460 | Total Loss 9.56e-07 | lr 1.00e-03
Iter 0470 | Total Loss 1.53e-06 | lr 1.00e-03
Iter 0480 | Total Loss 1.94e-06 | lr 1.00e-03
Iter 0490 | Total Loss 1.46e-06 | lr 1.00e-03
Iter 0500 | Total Loss 2.60e-06 | lr 1.00e-03
Iter 0510 | Total Loss 1.09e-06 | lr 1.00e-03
Iter 0520 | Total Loss 1.99e-06 | lr 1.00e-03
Iter 0530 | Total Loss 2.86e-06 | lr 1.00e-03
Iter 0540 | Total Loss 1.29e-06 | lr 1.00e-03
Iter 0550 | Total Loss 1.43e-06 | lr 1.00e-03
Iter 0560 | Total Loss 1.03e-06 | lr 1.00e-03
Iter 0570 | Total Loss 1.52e-06 | lr 1.00e-03
Iter 0580 | Total Loss 1.39e-06 | lr 1.00e-03
Iter 0590 | Total Loss 9.82e-07 | lr 1.00e-03
Iter 0600 | Total Loss 1.68e-06 | lr 1.00e-03
Iter 0610 | Total Loss 1.46e-06 | lr 1.00e-03
Iter 0620 | Total Loss 1.25e-06 | lr 1.00e-03
Iter 0630 | Total Loss 1.20e-06 | lr 1.00e-03
Iter 0640 | Total Loss 1.24e-06 | lr 1.00e-03
Iter 0650 | Total Loss 1.91e-06 | lr 1.00e-03
Iter 0660 | Total Loss 1.31e-06 | lr 1.00e-03
Iter 0670 | Total Loss 1.32e-06 | lr 1.00e-03
Iter 0680 | Total Loss 1.46e-06 | lr 1.00e-03
Iter 0690 | Total Loss 9.20e-07 | lr 1.00e-03
Iter 0700 | Total Loss 3.37e-06 | lr 1.00e-03
Iter 0710 | Total Loss 9.53e-07 | lr 1.00e-03
Iter 0720 | Total Loss 1.33e-06 | lr 1.00e-03
Iter 0730 | Total Loss 1.02e-06 | lr 1.00e-03
Iter 0740 | Total Loss 1.29e-06 | lr 1.00e-03
Iter 0750 | Total Loss 1.24e-06 | lr 1.00e-03
Iter 0760 | Total Loss 1.47e-06 | lr 1.00e-03
Iter 0770 | Total Loss 1.55e-06 | lr 1.00e-03
Iter 0780 | Total Loss 1.31e-06 | lr 1.00e-03
Iter 0790 | Total Loss 2.17e-06 | lr 1.00e-03
Iter 0800 | Total Loss 1.07e-06 | lr 1.00e-03
Iter 0810 | Total Loss 1.13e-06 | lr 1.00e-03
Iter 0820 | Total Loss 2.82e-06 | lr 1.00e-03
Iter 0830 | Total Loss 1.12e-06 | lr 1.00e-03
Iter 0840 | Total Loss 1.26e-06 | lr 1.00e-03
Iter 0850 | Total Loss 1.44e-06 | lr 1.00e-03
Iter 0860 | Total Loss 1.39e-06 | lr 1.00e-03
Iter 0870 | Total Loss 1.84e-06 | lr 1.00e-03
Iter 0880 | Total Loss 1.41e-06 | lr 1.00e-03
Iter 0890 | Total Loss 1.29e-06 | lr 1.00e-03
Iter 0900 | Total Loss 1.41e-06 | lr 1.00e-03
Iter 0910 | Total Loss 2.30e-06 | lr 1.00e-03
Iter 0920 | Total Loss 9.67e-07 | lr 1.00e-03
Iter 0930 | Total Loss 1.56e-06 | lr 1.00e-03
Iter 0940 | Total Loss 1.56e-06 | lr 1.00e-03
Iter 0950 | Total Loss 1.74e-06 | lr 1.00e-03
Iter 0960 | Total Loss 1.48e-06 | lr 1.00e-03
Iter 0970 | Total Loss 1.64e-06 | lr 1.00e-03
Iter 0980 | Total Loss 9.83e-07 | lr 1.00e-03
Iter 0990 | Total Loss 1.15e-06 | lr 1.00e-03
Iter 1000 | Total Loss 6.70e-07 | lr 1.00e-04
Iter 1010 | Total Loss 7.51e-07 | lr 1.00e-04
Iter 1020 | Total Loss 6.85e-07 | lr 1.00e-04
Iter 1030 | Total Loss 9.23e-07 | lr 1.00e-04
Iter 1040 | Total Loss 8.61e-07 | lr 1.00e-04
Iter 1050 | Total Loss 9.45e-07 | lr 1.00e-04
Iter 1060 | Total Loss 7.16e-07 | lr 1.00e-04
Iter 1070 | Total Loss 6.71e-07 | lr 1.00e-04
Iter 1080 | Total Loss 8.53e-07 | lr 1.00e-04
Iter 1090 | Total Loss 6.63e-07 | lr 1.00e-04
Iter 1100 | Total Loss 8.23e-07 | lr 1.00e-04
Iter 1110 | Total Loss 8.67e-07 | lr 1.00e-04
Iter 1120 | Total Loss 8.84e-07 | lr 1.00e-04
Iter 1130 | Total Loss 1.00e-06 | lr 1.00e-04
Iter 1140 | Total Loss 8.13e-07 | lr 1.00e-04
Iter 1150 | Total Loss 7.92e-07 | lr 1.00e-04
Iter 1160 | Total Loss 8.24e-07 | lr 1.00e-04
Iter 1170 | Total Loss 7.60e-07 | lr 1.00e-04
Iter 1180 | Total Loss 8.31e-07 | lr 1.00e-04
Iter 1190 | Total Loss 8.40e-07 | lr 1.00e-04
Iter 1200 | Total Loss 6.97e-07 | lr 1.00e-04
Iter 1210 | Total Loss 9.81e-07 | lr 1.00e-04
Iter 1220 | Total Loss 8.40e-07 | lr 1.00e-04
Iter 1230 | Total Loss 9.49e-07 | lr 1.00e-04
Iter 1240 | Total Loss 9.82e-07 | lr 1.00e-04
Iter 1250 | Total Loss 8.89e-07 | lr 1.00e-04
Iter 1260 | Total Loss 7.70e-07 | lr 1.00e-04
Iter 1270 | Total Loss 7.74e-07 | lr 1.00e-04
Iter 1280 | Total Loss 8.15e-07 | lr 1.00e-04
Iter 1290 | Total Loss 8.07e-07 | lr 1.00e-04
Iter 1300 | Total Loss 1.03e-06 | lr 1.00e-04
Iter 1310 | Total Loss 9.33e-07 | lr 1.00e-04
Iter 1320 | Total Loss 9.09e-07 | lr 1.00e-04
Iter 1330 | Total Loss 9.85e-07 | lr 1.00e-04
Iter 1340 | Total Loss 8.20e-07 | lr 1.00e-04
Iter 1350 | Total Loss 8.95e-07 | lr 1.00e-04
Iter 1360 | Total Loss 9.05e-07 | lr 1.00e-04
