Epoch Loss Val_Loss LR
0 3.452e+03 1.252e+02 1.000e-03
1 7.714e+01 6.889e+01 1.000e-03
2 4.958e+01 4.053e+01 1.000e-03
3 3.840e+01 3.196e+01 1.000e-03
4 2.975e+01 3.496e+01 1.000e-03
5 2.618e+01 2.532e+01 1.000e-03
6 2.313e+01 2.396e+01 1.000e-03
7 2.086e+01 2.393e+01 1.000e-03
8 1.981e+01 1.665e+01 1.000e-03
9 1.941e+01 2.104e+01 1.000e-03
10 1.853e+01 3.340e+01 1.000e-03
11 1.816e+01 2.043e+01 1.000e-03
12 1.748e+01 2.013e+01 1.000e-03
13 1.717e+01 1.590e+01 1.000e-03
14 1.738e+01 4.526e+01 1.000e-03
15 1.748e+01 2.222e+01 1.000e-03
16 1.658e+01 1.433e+01 1.000e-03
17 1.662e+01 1.772e+01 1.000e-03
18 1.641e+01 1.505e+01 1.000e-03
19 1.651e+01 1.803e+01 1.000e-03
20 1.589e+01 1.721e+01 1.000e-03
21 1.592e+01 1.569e+01 1.000e-03
22 1.611e+01 1.468e+01 1.000e-03
23 1.556e+01 1.465e+01 1.000e-03
24 1.556e+01 1.407e+01 1.000e-03
25 1.596e+01 1.489e+01 1.000e-03
26 1.499e+01 2.349e+01 1.000e-03
27 1.533e+01 2.461e+01 1.000e-03
28 1.490e+01 1.699e+01 1.000e-03
29 1.561e+01 1.441e+01 1.000e-03
30 1.466e+01 1.424e+01 1.000e-03
31 1.485e+01 1.295e+01 1.000e-03
32 1.455e+01 1.381e+01 1.000e-03
33 1.467e+01 1.328e+01 1.000e-03
34 1.419e+01 1.327e+01 1.000e-03
35 1.460e+01 1.418e+01 1.000e-03
36 1.442e+01 1.681e+01 1.000e-03
37 1.426e+01 1.462e+01 1.000e-03
38 1.432e+01 1.755e+01 1.000e-03
39 1.436e+01 1.290e+01 1.000e-03
40 1.443e+01 1.402e+01 1.000e-03
41 1.361e+01 1.552e+01 1.000e-03
42 1.411e+01 1.414e+01 1.000e-03
43 1.440e+01 2.042e+01 1.000e-03
44 1.381e+01 1.338e+01 1.000e-03
45 1.340e+01 1.410e+01 1.000e-03
46 1.363e+01 2.191e+01 1.000e-03
47 1.332e+01 1.780e+01 1.000e-03
48 1.354e+01 1.266e+01 1.000e-03
49 1.341e+01 1.401e+01 1.000e-03
50 1.328e+01 1.258e+01 1.000e-03
51 1.318e+01 1.554e+01 1.000e-03
52 1.316e+01 1.383e+01 1.000e-03
53 1.297e+01 1.225e+01 1.000e-03
54 1.315e+01 2.688e+01 1.000e-03
55 1.308e+01 1.434e+01 1.000e-03
56 1.284e+01 1.277e+01 1.000e-03
57 1.249e+01 1.172e+01 1.000e-03
58 1.302e+01 1.372e+01 1.000e-03
59 1.276e+01 1.204e+01 1.000e-03
60 1.275e+01 1.633e+01 1.000e-03
61 1.265e+01 1.208e+01 1.000e-03
62 1.258e+01 1.134e+01 1.000e-03
63 1.238e+01 1.251e+01 1.000e-03
64 1.227e+01 1.564e+01 1.000e-03
65 1.238e+01 1.325e+01 1.000e-03
66 1.211e+01 1.121e+01 1.000e-03
67 1.211e+01 1.074e+01 1.000e-03
68 1.202e+01 1.303e+01 1.000e-03
69 1.209e+01 1.540e+01 1.000e-03
70 1.218e+01 1.153e+01 1.000e-03
71 1.154e+01 1.332e+01 1.000e-03
72 1.170e+01 1.334e+01 1.000e-03
73 1.174e+01 1.840e+01 1.000e-03
74 1.174e+01 1.289e+01 1.000e-03
75 1.168e+01 1.182e+01 1.000e-03
76 1.145e+01 1.119e+01 1.000e-03
77 1.193e+01 1.184e+01 1.000e-03
78 1.142e+01 1.279e+01 1.000e-03
79 1.129e+01 1.183e+01 1.000e-03
80 1.148e+01 1.082e+01 1.000e-03
81 1.138e+01 1.487e+01 1.000e-03
82 1.140e+01 1.269e+01 1.000e-03
83 1.105e+01 1.036e+01 1.000e-03
84 1.134e+01 1.052e+01 1.000e-03
85 1.128e+01 1.464e+01 1.000e-03
86 1.120e+01 1.106e+01 1.000e-03
87 1.125e+01 1.055e+01 1.000e-03
88 1.069e+01 1.378e+01 1.000e-03
89 1.094e+01 2.944e+01 1.000e-03
90 1.103e+01 9.688e+00 1.000e-03
91 1.109e+01 1.112e+01 1.000e-03
92 1.080e+01 1.095e+01 1.000e-03
93 1.074e+01 1.312e+01 1.000e-03
94 1.074e+01 9.487e+00 1.000e-03
95 1.078e+01 9.978e+00 1.000e-03
96 1.048e+01 1.125e+01 1.000e-03
97 1.046e+01 1.121e+01 1.000e-03
98 1.098e+01 1.683e+01 1.000e-03
99 1.050e+01 1.019e+01 1.000e-03
100 8.967e+00 1.004e+01 5.000e-04
101 9.053e+00 9.483e+00 5.000e-04
102 8.958e+00 1.035e+01 5.000e-04
103 8.900e+00 9.588e+00 5.000e-04
104 8.821e+00 8.812e+00 5.000e-04
105 8.904e+00 9.426e+00 5.000e-04
106 9.039e+00 9.184e+00 5.000e-04
107 8.870e+00 9.343e+00 5.000e-04
108 8.768e+00 9.216e+00 5.000e-04
109 8.625e+00 1.073e+01 5.000e-04
110 8.747e+00 9.576e+00 5.000e-04
111 8.821e+00 9.049e+00 5.000e-04
112 8.734e+00 8.479e+00 5.000e-04
113 8.743e+00 9.048e+00 5.000e-04
114 8.886e+00 1.077e+01 5.000e-04
115 8.685e+00 9.160e+00 5.000e-04
116 8.630e+00 1.304e+01 5.000e-04
117 8.672e+00 9.346e+00 5.000e-04
118 8.691e+00 9.900e+00 5.000e-04
119 8.623e+00 9.643e+00 5.000e-04
120 8.500e+00 1.182e+01 5.000e-04
121 8.550e+00 9.164e+00 5.000e-04
122 8.620e+00 8.891e+00 5.000e-04
123 8.626e+00 8.391e+00 5.000e-04
124 8.501e+00 8.583e+00 5.000e-04
125 8.440e+00 1.624e+01 5.000e-04
126 8.556e+00 8.483e+00 5.000e-04
127 8.520e+00 9.376e+00 5.000e-04
128 8.560e+00 9.917e+00 5.000e-04
129 8.419e+00 9.554e+00 5.000e-04
130 8.391e+00 9.396e+00 5.000e-04
131 8.569e+00 8.394e+00 5.000e-04
132 8.391e+00 8.949e+00 5.000e-04
133 8.338e+00 8.886e+00 5.000e-04
134 8.306e+00 8.967e+00 5.000e-04
135 8.403e+00 8.595e+00 5.000e-04
136 8.332e+00 9.604e+00 5.000e-04
137 8.445e+00 9.630e+00 5.000e-04
138 8.384e+00 8.259e+00 5.000e-04
139 8.286e+00 9.422e+00 5.000e-04
140 8.289e+00 8.846e+00 5.000e-04
141 8.379e+00 8.575e+00 5.000e-04
142 8.239e+00 8.434e+00 5.000e-04
